L,gamma,class_error,gen_bound
10,0,0.12999999999999998,NA
10,0.001,0.35,15693.044502952089
10,0.01,0.26999999999999996,1623.7368963198949
10,0.1,0.2,179.52556683492546
10,1,0.2,23.315282903383693
20,0,0.15,NA
20,0.001,0.33499999999999996,11096.773614069312
20,0.01,0.28500000000000003,1148.2707988214809
20,0.1,0.29,127.05917428891323
20,1,0.31500000000000006,16.60182335677684
40,0,0.0775,NA
40,0.001,0.18,7847.850856086132
40,0.01,0.15249999999999997,813.1970527777631
40,0.1,0.21,91.09138811257559
40,1,0.22499999999999995,12.986246919775544
60,0,0.05833333333333335,NA
60,0.001,0.11166666666666672,6409.642263711148
60,0.01,0.11500000000000002,665.8714853131088
60,0.1,0.1816666666666667,76.27467918010208
60,1,0.18833333333333332,12.50209978992363
80,0,0.065,NA
80,0.001,0.12125,5553.171001480606
80,0.01,0.12,578.9195938936598
80,0.1,0.165,68.31378199707599
80,1,0.1675,13.085110228011061
100,0,0.05800000000000003,NA
100,0.001,0.09199999999999998,4969.399259192864
100,0.01,0.10499999999999998,520.2935454051851
100,0.1,0.156,63.593823639190234
100,1,0.162,14.195800655111096
200,0,0.04550000000000004,NA
200,0.001,0.05950000000000001,3526.7269767293305
200,0.01,0.1065,380.7341565215953
200,0.1,0.135,57.79868856832405
200,1,0.13900000000000004,22.86903427383114
300,0,0.05400000000000001,NA
300,0.001,0.07533333333333332,2894.3882353653507
300,0.01,0.117,325.6958544546802
300,0.1,0.14399999999999996,62.020153131743754
300,1,0.14433333333333329,33.500251039425194
