L,gamma,class_error,gen_bound
20,0,0.050000000000000024,NA
20,0.001,0.125,3537.5892868626665
20,0.01,0.07500000000000002,390.9020831927809
20,0.1,0.085,61.59699314796044
20,1,0.09000000000000001,24.038057657660936
40,0,0.020000000000000018,NA
40,0.001,0.025000000000000012,3043.9794979431676
40,0.01,0.03250000000000001,350.51102075311826
40,0.1,0.04750000000000001,69.69143440348398
40,1,0.06000000000000001,37.98147726126116
80,0,0.02124999999999999,NA
80,0.001,0.041249999999999995,2260.352449452827
80,0.01,0.05625,289.62723136457794
80,0.1,0.065,84.30283341551926
80,1,0.1025,61.1609212633379
100,0,0.019000000000000017,NA
100,0.001,0.031000000000000028,2305.715446120259
100,0.01,0.053000000000000026,306.5840119849349
100,0.1,0.072,98.8396750276336
100,1,0.08099999999999999,75.58880049230916
200,0,0.010000000000000009,NA
200,0.001,0.02150000000000002,2028.700392983148
200,0.01,0.029000000000000026,322.3994158048703
200,0.1,0.03550000000000002,145.6536675061464
200,1,0.03750000000000002,126.0451541553256
400,0,0.00874999999999999,NA
400,0.001,0.020499999999999984,1892.8327532621333
400,0.01,0.02649999999999999,420.5272583076814
400,0.1,0.03025,268.5196233775067
400,1,0.03200000000000001,251.8082128293152
800,0,0.005374999999999996,NA
800,0.001,0.014000000000000002,1521.4166447731209
800,0.01,0.016750000000000008,532.5341035038329
800,0.1,0.017999999999999995,430.35529402930416
800,1,0.021124999999999994,419.09684811503286
2000,0,0.0035499999999999863,NA
2000,0.001,0.009699999999999976,1745.394800803349
2000,0.01,0.010999999999999977,1060.5406921662332
2000,0.1,0.011849999999999982,989.8724494648159
2000,1,0.03229999999999998,982.1153531556874
